iter	Passed	Remaining
356	20385	8165
357	20556	8153
358	20672	8119
359	20807	8091
360	20928	8058
361	21049	8024
362	21132	7975
363	21255	7941
364	21380	7907
365	21489	7867
366	21601	7828
367	21751	7802
368	21888	7770
369	22052	7748
370	22181	7712
371	22273	7664
372	22340	7606
373	22416	7552
374	22482	7494
375	22540	7433
376	22630	7383
377	22692	7324
378	22753	7264
379	22810	7203
380	22890	7149
381	22954	7090
382	23024	7033
383	23093	6976
384	23157	6917
385	23222	6858
386	23288	6799
387	23348	6739
388	23395	6675
389	23442	6612
390	23503	6552
391	23584	6497
392	23675	6445
393	23746	6388
394	23791	6324
395	23845	6262
396	23897	6200
397	23946	6137
398	24010	6077
399	24054	6013
400	24101	5950
401	24165	5891
402	24234	5833
403	24289	5771
404	24353	5712
405	24416	5653
406	24474	5592
407	24543	5534
408	24584	5469
409	24662	5413
410	24711	5351
411	24764	5289
412	24808	5225
413	24854	5162
414	24903	5100
415	24972	5042
416	25026	4981
417	25074	4918
418	25129	4857
419	25188	4797
420	25232	4734
421	25298	4676
422	25351	4614
423	25421	4556
424	25483	4497
425	25526	4434
426	25570	4371
427	25633	4312
428	25674	4249
429	25721	4187
430	25769	4125
431	25837	4066
432	25894	4006
433	25951	3946
434	26025	3888
435	26086	3829
436	26144	3769
437	26205	3709
438	26277	3651
439	26330	3590
440	26380	3529
441	26429	3468
442	26480	3407
443	26531	3346
444	26580	3285
445	26621	3223
446	26684	3163
447	26726	3102
448	26771	3040
449	26818	2979
450	26864	2918
451	26921	2858
452	26960	2797
453	27018	2737
454	27075	2677
455	27129	2617
456	27188	2558
457	27229	2497
458	27296	2438
459	27360	2379
460	27415	2319
461	27462	2258
462	27504	2197
463	27559	2138
464	27608	2078
465	27654	2017
466	27726	1959
467	27787	1900
468	27838	1840
469	27898	1780
470	27975	1722
471	28037	1663
472	28101	1604
473	28177	1545
474	28255	1487
475	28323	1428
476	28380	1368
477	28452	1309
478	28534	1250
479	28606	1191
480	28663	1132
481	28716	1072
482	28787	1013
483	28867	954
484	28923	894
485	28987	835
486	29039	775
487	29096	715
488	29177	656
489	29239	596
490	29292	536
491	29366	477
492	29438	417
493	29495	358
494	29559	298
495	29617	238
496	29682	179
497	29734	119
498	29811	59
499	29870	0
