iter	RMSE
174	17.78385799
175	17.77661116
176	17.77039179
177	17.76305087
178	17.75747771
179	17.7530065
180	17.74672177
181	17.74036499
182	17.73482014
183	17.72742823
184	17.72085498
185	17.71409495
186	17.70619185
187	17.69935319
188	17.69436553
189	17.68780483
190	17.68151657
191	17.67586338
192	17.67226557
193	17.66765577
194	17.6619592
195	17.65667809
196	17.65210347
197	17.64579192
198	17.64099465
199	17.63664124
200	17.62989342
201	17.62311258
202	17.61925743
203	17.61287473
204	17.60761079
205	17.60085414
206	17.59646069
207	17.59165357
208	17.58640181
209	17.58098216
210	17.57711895
211	17.57200021
212	17.56822497
213	17.56290156
214	17.55758409
215	17.5502351
216	17.5459542
217	17.5393235
218	17.53487081
219	17.53072427
220	17.52613912
221	17.52130673
222	17.51399578
223	17.50993644
224	17.50550457
225	17.50158242
226	17.4960255
227	17.49281565
228	17.48774716
229	17.48351377
230	17.4793557
231	17.47454146
232	17.46937631
233	17.46282339
234	17.45951503
235	17.45476813
236	17.45287272
237	17.44924543
238	17.44581647
239	17.43897768
240	17.43363612
241	17.42821471
242	17.42413602
243	17.41917877
244	17.4131219
245	17.40832182
246	17.40411038
247	17.39955072
248	17.39549557
249	17.39086297
250	17.38732538
251	17.38392229
252	17.37994188
253	17.3771483
254	17.37245549
255	17.36814535
256	17.36323032
257	17.35855348
258	17.3557288
259	17.34889846
260	17.34567915
261	17.3426054
262	17.33894139
263	17.33457669
264	17.33056199
265	17.32230262
266	17.31898204
267	17.31313333
268	17.30846392
269	17.30388041
270	17.3005487
271	17.29668776
272	17.29307126
273	17.28866116
274	17.2851406
275	17.28226511
276	17.27715666
277	17.27373958
278	17.27077896
279	17.26731668
280	17.26406942
281	17.26033747
282	17.25697811
283	17.25249415
284	17.2467955
285	17.24322337
286	17.23989287
287	17.23562711
288	17.2324778
289	17.22924126
290	17.22591267
291	17.22137219
292	17.21797788
293	17.21313667
294	17.2102312
295	17.20481741
296	17.20161914
297	17.19916383
298	17.19336504
299	17.18950621
300	17.18667185
301	17.181935
302	17.17836015
303	17.17330205
304	17.16933079
305	17.16548002
306	17.16026216
307	17.15559333
308	17.15197011
309	17.14831719
310	17.14375804
311	17.13870887
312	17.13400184
313	17.13092746
314	17.12622496
315	17.12233008
316	17.11992093
317	17.11660542
318	17.1130253
319	17.10897915
320	17.10590528
321	17.10189345
322	17.09784618
323	17.09299397
324	17.0895668
325	17.08580267
326	17.08317744
327	17.07821107
328	17.07430938
329	17.07117831
330	17.06753753
331	17.06372276
332	17.05910282
333	17.05698198
334	17.05292974
335	17.05016296
336	17.0455228
337	17.04158009
338	17.03824575
339	17.03511954
340	17.03110761
341	17.02748712
342	17.02336821
343	17.02050857
344	17.01746532
345	17.01409848
346	17.01079434
347	17.00821493
348	17.00456038
349	17.00231179
350	16.99901128
351	16.9955497
352	16.99205651
353	16.98832553
354	16.98405418
355	16.98148385
356	16.97788733
357	16.97518436
358	16.97294402
359	16.96849228
360	16.96543368
361	16.96280407
362	16.96032077
363	16.95624183
364	16.95371226
365	16.94961674
366	16.94608503
367	16.94392992
368	16.94014841
369	16.93723467
370	16.93531512
371	16.93337636
372	16.93050352
373	16.92750744
374	16.92466259
375	16.92230309
376	16.91983077
377	16.91751236
378	16.91436584
379	16.91134144
380	16.90609653
381	16.90415454
382	16.89960604
383	16.89619259
384	16.89230261
385	16.88938409
386	16.88586892
387	16.88343182
388	16.8806127
389	16.87886863
390	16.87688118
391	16.87464262
392	16.87024391
393	16.86792674
394	16.86591988
395	16.86402257
396	16.86079639
397	16.85805095
398	16.85501888
399	16.85268732
400	16.84925683
401	16.84742129
402	16.84486693
403	16.84270851
404	16.84081383
405	16.8376953
406	16.83474803
407	16.83017944
408	16.82821408
409	16.82549077
410	16.82333508
411	16.82040503
412	16.81821213
413	16.81653901
414	16.8135191
415	16.81109957
416	16.80770878
417	16.80592877
418	16.80401361
419	16.80164732
420	16.79925892
421	16.79710163
422	16.79379348
423	16.7918077
424	16.78990098
425	16.78768533
426	16.78527768
427	16.78327791
428	16.78140326
429	16.77850158
430	16.77686318
431	16.77249116
432	16.77008561
433	16.76718447
434	16.76521747
435	16.76285658
436	16.75986569
437	16.75679249
438	16.75320152
439	16.75046121
440	16.74779169
441	16.74592066
442	16.7438472
443	16.74216226
444	16.74025889
445	16.73721309
446	16.73581293
447	16.73380009
448	16.73096603
449	16.72926853
450	16.72665775
451	16.72287559
452	16.72184507
453	16.7199155
454	16.71747979
455	16.71550309
456	16.71383256
457	16.71208184
458	16.70974584
459	16.70491035
460	16.7036858
461	16.70184607
462	16.69944083
463	16.69717863
464	16.69459609
465	16.69272409
466	16.69002882
467	16.68720834
468	16.68523642
469	16.68294418
470	16.68084506
471	16.6781154
472	16.6763038
473	16.67223176
474	16.66983367
475	16.66711346
476	16.66452526
477	16.66291985
478	16.65990192
479	16.6572409
480	16.65596734
481	16.65408861
482	16.65193978
483	16.65056414
484	16.64857828
485	16.64717823
486	16.64506249
487	16.64316066
488	16.63952149
489	16.63760865
490	16.63602968
491	16.6313594
492	16.6288732
493	16.62724978
494	16.62348883
495	16.62136922
496	16.61810027
497	16.6167862
498	16.61488092
499	16.61316156
