model,mae_at_shortest_horizon,rmse_at_shortest_horizon,mae_at_longest_horizon,rmse_at_longest_horizon,mae_delta,mae_ratio_long_vs_short
lightgbm,10.121438133392605,18.64904139001513,68.05096037092227,91.33860771482631,57.92952223752967,6.723447742708503
xgboost,10.026162601910176,18.9516616030209,67.71738359911029,91.1058505162891,57.69122099720012,6.754067960777818
catboost,9.905342552589373,18.56295610249697,68.47124002653975,91.85202461079001,58.56589747395037,6.912556497971952
